 ,Tidak bisa diubah,,,,,Informasi SKU,,,,
Error Message,Product ID,Nama Produk,URL,Total Stok,Stok Campaign,Stok Utama*,SKU Name,Status*,Harga (Rp)*,
Abaikan kolom ini. Kolom akan menampilkan pesan jika ada kesalahan setelah kamu melakukan upload produk.,"Abaikan kolom ini. Jangan ubah ID Produkmu. 

Jika kamu ubah dan masukkan ID produk lain yang benar, ID produk akan berubah. Namun, jika kamu ubah dan masukkan ID produk yang salah, informasi akan diabaikan.",Jangan ubah Nama Produk. Setiap ada perubahan yang kamu buat pada nama produk akan diabaikan.,URL tidak dapat diubah. Perubahan di URL akan diabaikan.,Total Stock tidak dapat diubah. Perubahan di Total Stock akan diabaikan,Stok campaign tidak bisa diubah. Pelajari stok campaign selengkapnya di https://seller.tokopedia.com/edu/cara-atur-diskon-potongan-harga-os/,"Isi jumlah stok yang tersedia dalam format angka tanpa menggunakan koma dan titik. Stok akan berkurang ketika pembayaran dari pembeli telah diverifikasi. Jumlah stok tidak ditampilkan kepada pembeli. Jika kolom tidak diisi atau mengandung sesuatu di luar angka 1 hingga 999999, maka otomatis 1.","(Opsional) Masukkan SKU maks. 50 karakter.
 
SKU bisa diubah jika produk ini belum terjual.","Pilih status produk: Aktif atau Nonaktif

Jika kolom tidak diisi atau mengandung sesuatu di luar aktif atau nonaktif maka otomatis aktif.",Masukkan harga produk. Harga dalam rupiah tanpa menggunakan koma dan titik. Harga harus antara 100 - 10000000000000000,
,651531032,ACETECH LIGHTER S TRACER UNIT,https://tokopedia.com/bunshopz/acetech-lighter-s-tracer-unit,0,0,0,,Nonaktif,1200000,5ecea3851b35b7e453a8
,490259885,AIP 120% ENHANCED RECOIL SPRING AND HAMMER SPRING HICAPA HI-CAPA,https://tokopedia.com/bunshopz/aip-120-enhanced-recoil-spring-and-hammer-spring-hicapa-hi-capa,1,0,1,,Nonaktif,115000,293a4d7d49ce04e4fe21
,490261096,AIP 140% ENHANCED RECOIL SPRING AND HAMMER SPRING HICAPA HI-CAPA,https://tokopedia.com/bunshopz/aip-140-enhanced-recoil-spring-and-hammer-spring-hicapa-hi-capa,2,0,2,,Nonaktif,120000,9d607a1e64782220e2e1
,671502780.1,AIP RECOIL SPRING GUIDE PLUG HI-CAPA HICAPA 4.3 GOLD - Hitam,https://www.tokopedia.com/bunshopz/aip-recoil-spring-guide-plug-hi-capa-hicapa-4-3-gold-hitam,2,0,2,,Aktif,250000,bce6567ad6792d1230fd
,455244877,AS SHOCK DEPAN CHOHO MIO NEW,https://tokopedia.com/bunshopz/as-shock-depan-choho-mio-new,100,0,100,,Aktif,148900,8e05fce8058b506d2b25
,455258147,AS SHOCK DEPAN CS1 CS 1 CHOHO,https://tokopedia.com/bunshopz/as-shock-depan-cs1-cs-1-choho,98,0,98,,Aktif,103900,6acd2ed826be523f9e1c
,455261302,AS SHOCK DEPAN GRAND CHOHO,https://tokopedia.com/bunshopz/as-shock-depan-grand-choho,100,0,100,,Aktif,90000,9b0995dc3a4c26992b84
,455248111,AS SHOCK DEPAN MIO M3 MIO Z 125 CHOHO,https://tokopedia.com/bunshopz/as-shock-depan-mio-m3-mio-z-125-choho,100,0,100,,Aktif,103900,a24967d8fed1f4152b83
,455255142,AS SHOCK DEPAN REVO ABSOLUTE ABS BLADE110 CHOHO,https://tokopedia.com/bunshopz/as-shock-depan-revo-absolute-abs-blade110-choho,100,0,100,,Aktif,143900,3b0e43f3ebd9333fb756
,455271259,AS SHOCK DEPAN SKYWAVE SKYWAFE CHOHO,https://tokopedia.com/bunshopz/as-shock-depan-skywave-skywafe-choho,100,0,100,,Aktif,90000,1e59534d02adb919d771
,455289482,AS SHOCK SHOK DEPAN BEAT ESP 2018 TAKA,https://tokopedia.com/bunshopz/as-shock-shok-depan-beat-esp-2018-taka,100,0,100,,Aktif,95000,b6845cd89bba532aded0
,455288284,AS SHOCK SHOK DEPAN BEAT FI 2018 TAKA,https://tokopedia.com/bunshopz/as-shock-shok-depan-beat-fi-2018-taka,100,0,100,,Aktif,95000,61e2c917cdab7fe14007
,461428879,AS SHOCK SHOK DEPAN DAN SEAL SHOCK TS 125 TS125,https://tokopedia.com/bunshopz/as-shock-shok-depan-dan-seal-shock-ts-125-ts125,10,0,10,,Aktif,230000,b06af248dc446e751905
,455333258,AS SHOCK SHOK DEPAN F1 F1ZR YUZAKA,https://tokopedia.com/bunshopz/as-shock-shok-depan-f1-f1zr-yuzaka,99,0,99,,Aktif,105000,fa99f052db87f02afade
